Department,Sub Department,URL
Automotive,Car Care,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A15718271&ref_=nav_em__nav_desktop_sa_intl_car_care_0_2_10_2
Automotive,Car Electronics & Accessories,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A2230642011&ref_=nav_em__nav_desktop_sa_intl_car_electronics_accessories_0_2_10_3
Automotive,Exterior Accessories,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A15857511&ref_=nav_em__nav_desktop_sa_intl_exterior_accessories__0_2_10_4
Automotive,Interior Accessories,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A15857501&ref_=nav_em__nav_desktop_sa_intl_interior_accessories_0_2_10_5
Automotive,Lights & Lighting Accessories,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A15736321&ref_=nav_em__nav_desktop_sa_intl_lights_lighting_accessories_0_2_10_6
Automotive,Motorcycle & Powersports,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A346333011&ref_=nav_em__nav_desktop_sa_intl_motorcycle_powersports_0_2_10_7
Automotive,Oils & Fluids,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A15718791&ref_=nav_em__nav_desktop_sa_intl_oils_fluid_0_2_10_8
Automotive,Paint & Paint Supplies,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A13591416011&ref_=nav_em__nav_desktop_sa_intl_paint_paint_supplies_0_2_10_9
Automotive,Performance Parts & Accessories,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A15710351&ref_=nav_em__nav_desktop_sa_intl_performance_parts_accessories_0_2_10_10
Automotive,Replacement Parts,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A15719731&ref_=nav_em__nav_desktop_sa_intl_replacement_parts_0_2_10_11
Automotive,RV Parts & Accessories,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A2258019011&ref_=nav_em__nav_desktop_sa_intl_rv_parts_accessories_0_2_10_12
Automotive,Tires & Wheels,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A15706571&ref_=nav_em__nav_desktop_sa_intl_tires_wheels_0_2_10_13
Automotive,Tools & Equipment,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A15706941&ref_=nav_em__nav_desktop_sa_intl_tools_equipment_0_2_10_14
Automotive,Automotive Enthusiast Merchandise,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A2204830011&ref_=nav_em__nav_desktop_sa_intl_automotive_enthusiast_merchandise_0_2_10_15
Automotive,Heavy Duty & Commercial Vehicle Equipment,https://www.amazon.com/s?bbn=2562090011&rh=i%3Aspecialty-aps%2Cn%3A2562090011%2Cn%3A%2115690151%2Cn%3A15682003011&ref_=nav_em__nav_desktop_sa_intl_heavyduty_commercial_0_2_10_16
Automotive,Amazon Autos,https://www.amazon.com/gp/browse.html?node=10677469011&ref_=nav_em_0_2_10_17
Baby,Activity & Entertainment,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A239225011&ref_=nav_em__nav_desktop_sa_intl_activity_entertainment_0_2_11_2
Baby,Apparel & Accessories,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A7147444011&ref_=nav_em__nav_desktop_sa_intl_apparel_accessories_0_2_11_3
Baby,Baby & Toddler Toys,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A196601011&ref_=nav_em__nav_desktop_sa_intl_baby_toddler_toys_0_2_11_4
Baby,Baby Care,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A17720255011&ref_=nav_em__nav_desktop_sa_intl_baby_care_0_2_11_5
Baby,Baby Stationery,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A405369011&ref_=nav_em__nav_desktop_sa_intl_baby_stationary_0_2_11_6
Baby,Car Seats & Accessories,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A166835011&ref_=nav_em__nav_desktop_sa_intl_car_seats_accessories_0_2_11_7
Baby,Diapering,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A166764011&ref_=nav_em__nav_desktop_sa_intl_diapering_0_2_11_8
Baby,Feeding,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A166777011&ref_=nav_em__nav_desktop_sa_intl_feeding_0_2_11_9
Baby,Gifts,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A239226011&ref_=nav_em__nav_desktop_sa_intl_gifts_0_2_11_10
Baby,Nursery,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A695338011&ref_=nav_em__nav_desktop_sa_intl_nursery_0_2_11_11
Baby,Potty Training,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A166887011&ref_=nav_em__nav_desktop_sa_intl_potty_training_0_2_11_12
Baby,Pregnancy & Maternity,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A166804011&ref_=nav_em__nav_desktop_sa_intl_pregnancy_and_maternity_0_2_11_13
Baby,Safety,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A166863011&ref_=nav_em__nav_desktop_sa_intl_safety_0_2_11_14
Baby,Strollers & Accessories,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A8446318011&ref_=nav_em__nav_desktop_sa_intl_strollers_and_accessories_0_2_11_15
Baby,Travel Gear,https://www.amazon.com/s?bbn=16225005011&rh=i%3Aspecialty-aps%2Cn%3A%2116225005011%2Cn%3A17726796011&ref_=nav_em__nav_desktop_sa_intl_travel_gear_0_2_11_16
Beauty and Personal Care,Makeup,https://www.amazon.com/s?bbn=16225006011&rh=i%3Aspecialty-aps%2Cn%3A%2116225006011%2Cn%3A11058281&ref_=nav_em__nav_desktop_sa_intl_makeup_0_2_12_2
Beauty and Personal Care,Skin Care,https://www.amazon.com/s?bbn=16225006011&rh=i%3Aspecialty-aps%2Cn%3A%2116225006011%2Cn%3A11060451&ref_=nav_em__nav_desktop_sa_intl_skin_care_0_2_12_3
Beauty and Personal Care,Hair Care,https://www.amazon.com/s?bbn=16225006011&rh=i%3Aspecialty-aps%2Cn%3A%2116225006011%2Cn%3A11057241&ref_=nav_em__nav_desktop_sa_intl__0_2_12_4
Beauty and Personal Care,Fragrance,https://www.amazon.com/s?bbn=16225006011&rh=i%3Aspecialty-aps%2Cn%3A%2116225006011%2Cn%3A11056591&ref_=nav_em__nav_desktop_sa_intl_fragrance_0_2_12_5
Beauty and Personal Care,"Foot, Hand & Nail Care",https://www.amazon.com/s?bbn=16225006011&rh=i%3Aspecialty-aps%2Cn%3A%2116225006011%2Cn%3A17242866011&ref_=nav_em__nav_desktop_sa_intl_foot_hand_and_nail_care_0_2_12_6
Beauty and Personal Care,Tools & Accessories,https://www.amazon.com/s?bbn=16225006011&rh=i%3Aspecialty-aps%2Cn%3A%2116225006011%2Cn%3A11062741&ref_=nav_em__nav_desktop_sa_intl_tools_and_accessories_0_2_12_7
Beauty and Personal Care,Shave & Hair Removal,https://www.amazon.com/s?bbn=16225006011&rh=i%3Aspecialty-aps%2Cn%3A%2116225006011%2Cn%3A3778591&ref_=nav_em__nav_desktop_sa_intl_shave_and_hair_removal_0_2_12_8
Beauty and Personal Care,Personal Care,https://www.amazon.com/s?bbn=16225006011&rh=i%3Aspecialty-aps%2Cn%3A%2116225006011%2Cn%3A3777891&ref_=nav_em__nav_desktop_sa_intl_personal_care_0_2_12_9
Beauty and Personal Care,Oral Care,https://www.amazon.com/s?bbn=16225006011&rh=i%3Aspecialty-aps%2Cn%3A%2116225006011%2Cn%3A10079992011&ref_=nav_em__nav_desktop_sa_intl_oral_care_0_2_12_10
Women's Fashion,Clothing,https://www.amazon.com/s?bbn=16225018011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225018011%2Cn%3A1040660&ref_=nav_em__nav_desktop_sa_intl_clothing_0_2_13_2
Women's Fashion,Shoes,https://www.amazon.com/s?bbn=16225018011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225018011%2Cn%3A679337011&ref_=nav_em__nav_desktop_sa_intl_shoes_0_2_13_3
Women's Fashion,Jewelry,https://www.amazon.com/s?bbn=16225018011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225018011%2Cn%3A7192394011&ref_=nav_em__nav_desktop_sa_intl_jewelry_0_2_13_4
Women's Fashion,Watches,https://www.amazon.com/s?bbn=16225018011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225018011%2Cn%3A6358543011&ref_=nav_em__nav_desktop_sa_intl_watches_0_2_13_5
Women's Fashion,Handbags,https://www.amazon.com/s?bbn=16225018011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225018011%2Cn%3A15743631&ref_=nav_em__nav_desktop_sa_intl_handbags_0_2_13_6
Women's Fashion,Accessories,https://www.amazon.com/s?bbn=16225018011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225018011%2Cn%3A2474936011&ref_=nav_em__nav_desktop_sa_intl_accessories_0_2_13_7
Men's Fashion,Clothing,https://www.amazon.com/s?bbn=16225019011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225019011%2Cn%3A1040658&ref_=nav_em__nav_desktop_sa_intl_clothing_0_2_14_2
Men's Fashion,Shoes,https://www.amazon.com/s?bbn=16225019011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225019011%2Cn%3A679255011&ref_=nav_em__nav_desktop_sa_intl_shoes_0_2_14_3
Men's Fashion,Watches,https://www.amazon.com/s?bbn=16225019011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225019011%2Cn%3A6358539011&ref_=nav_em__nav_desktop_sa_intl_watches_0_2_14_4
Men's Fashion,Accessories,https://www.amazon.com/s?bbn=16225019011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225019011%2Cn%3A2474937011&ref_=nav_em__nav_desktop_sa_intl_accessories_0_2_14_5
Girls' Fashion,Clothing,https://www.amazon.com/s?bbn=16225020011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225020011%2Cn%3A1040664&ref_=nav_em__nav_desktop_sa_intl_clothing_0_2_15_2
Girls' Fashion,Shoes,https://www.amazon.com/s?bbn=16225020011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225020011%2Cn%3A679217011&ref_=nav_em__nav_desktop_sa_intl_shoes_0_2_15_3
Girls' Fashion,Jewelry,https://www.amazon.com/s?bbn=16225020011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225020011%2Cn%3A3880961&ref_=nav_em__nav_desktop_sa_intl_jewelry_0_2_15_4
Girls' Fashion,Watches,https://www.amazon.com/s?bbn=16225020011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225020011%2Cn%3A6358547011&ref_=nav_em__nav_desktop_sa_intl_watches_0_2_15_5
Girls' Fashion,Accessories,https://www.amazon.com/s?bbn=16225020011&rh=i%3Aspecialty-aps%2Cn%3A7141123011%2Cn%3A16225020011%2Cn%3A2474938011&ref_=nav_em__nav_desktop_sa_intl_accessories_0_2_15_6
