Date,year,quarter,month,day,dateId
,,,,,1
2025-01-04,2025.0,1.0,1.0,4.0,2
2025-02-04,2025.0,1.0,2.0,4.0,3
2025-03-14,2025.0,1.0,3.0,14.0,4
2025-03-12,2025.0,1.0,3.0,12.0,5
2024-11-27,2024.0,4.0,11.0,27.0,6
2025-01-16,2025.0,1.0,1.0,16.0,7
2025-03-17,2025.0,1.0,3.0,17.0,8
2025-01-07,2025.0,1.0,1.0,7.0,9
2025-03-10,2025.0,1.0,3.0,10.0,10
2025-03-13,2025.0,1.0,3.0,13.0,11
2024-12-25,2024.0,4.0,12.0,25.0,12
2025-03-19,2025.0,1.0,3.0,19.0,13
2025-03-04,2025.0,1.0,3.0,4.0,14
2021-11-11,2021.0,4.0,11.0,11.0,15
2025-03-11,2025.0,1.0,3.0,11.0,16
2024-12-26,2024.0,4.0,12.0,26.0,17
2025-02-14,2025.0,1.0,2.0,14.0,18
2025-01-20,2025.0,1.0,1.0,20.0,19
2025-01-08,2025.0,1.0,1.0,8.0,20
2025-03-05,2025.0,1.0,3.0,5.0,21
2025-03-15,2025.0,1.0,3.0,15.0,22
2025-02-24,2025.0,1.0,2.0,24.0,23
2025-03-16,2025.0,1.0,3.0,16.0,24
2024-05-22,2024.0,2.0,5.0,22.0,25
2025-01-23,2025.0,1.0,1.0,23.0,26
2022-03-22,2022.0,1.0,3.0,22.0,27
2025-01-09,2025.0,1.0,1.0,9.0,28
2025-02-10,2025.0,1.0,2.0,10.0,29
2025-01-05,2025.0,1.0,1.0,5.0,30
2025-01-17,2025.0,1.0,1.0,17.0,31
2025-01-15,2025.0,1.0,1.0,15.0,32
2025-01-18,2025.0,1.0,1.0,18.0,33
2024-12-31,2024.0,4.0,12.0,31.0,34
2025-01-06,2025.0,1.0,1.0,6.0,35
2025-02-17,2025.0,1.0,2.0,17.0,36
2025-02-27,2025.0,1.0,2.0,27.0,37
2025-03-08,2025.0,1.0,3.0,8.0,38
2025-03-03,2025.0,1.0,3.0,3.0,39
2025-03-06,2025.0,1.0,3.0,6.0,40
2025-02-13,2025.0,1.0,2.0,13.0,41
2025-03-07,2025.0,1.0,3.0,7.0,42
2025-02-06,2025.0,1.0,2.0,6.0,43
2025-01-14,2025.0,1.0,1.0,14.0,44
2024-11-17,2024.0,4.0,11.0,17.0,45
2025-03-01,2025.0,1.0,3.0,1.0,46
2024-12-23,2024.0,4.0,12.0,23.0,47
2024-11-22,2024.0,4.0,11.0,22.0,48
2024-12-12,2024.0,4.0,12.0,12.0,49
2025-02-19,2025.0,1.0,2.0,19.0,50
2025-02-28,2025.0,1.0,2.0,28.0,51
