CountryOfOrigin,Continent,locationID
,,1
China,Asia,2
United States,North America,3
Mexico,North America,4
Australia,Oceania,5
Germany,Europe,6
Taiwan,Asia,7
Turkey,Asia,8
Cambodia,Asia,9
India,Asia,10
Canada,North America,11
Ireland,Europe,12
Hong Kong,Asia,13
Nicaragua,North America,14
Finland,Europe,15
Italy,Europe,16
Korea,Asia,17
Cameroon,Africa,18
Burkina Faso,Africa,19
Spain,Europe,20
Poland,Europe,21
Brazil,South America,22
Lithuania,Europe,23
Sweden,Europe,24
Malaysia,Asia,25
Romania,Europe,26
Ukraine,Europe,27
United Kingdom,Europe,28
Japan,Asia,29
Vietnam,Asia,30
Switzerland,Europe,31
Namibia,Africa,32
Thailand,Asia,33
Hungary,Europe,34
Portugal,Europe,35
Indonesia,Asia,36
Tunisia,Africa,37
Denmark,Europe,38
Afghanistan,Asia,39
France,Europe,40
South Africa,Africa,41
United Arab Emirates,Asia,42
Czech Republic,Europe,43
Singapore,Asia,44
Pakistan,Asia,45
Philippines,Asia,46
Netherlands,Europe,47
Slovakia,Europe,48
Norway,Europe,49
Israel,Asia,50
Morocco,Africa,51
New Zealand,Oceania,52
Belgium,Europe,53
Bulgaria,Europe,54
American Samoa,Oceania,55
