ASIN,Weight,Volumn,ProductSizeTier
B0DX7FSF7Q,,1415.84,Undefined
B0DX7L6377,,1415.84,Undefined
B0DS8RQTQC,9.59,917.9,Small standard-size
B0DS8RFB7R,4.97,562.16,Small standard-size
B0F1F5HCVT,,2461.53,Undefined
B0F1F8BRG6,,,Undefined
B0F186QVFR,10.23,913.69,Small standard-size
B0DP4PGPYZ,,4942.55,Undefined
B0DYNXLMZX,,,Undefined
B0DY76T1CD,,,Undefined
B0DPHPBVVN,,1016.9,Undefined
B0DT5V8KBX,,25035.75,Undefined
B0F133PNWM,,235.97,Undefined
B0F132TBYT,,673.77,Undefined
B0DZ3ZJZB9,,,Undefined
B0CKHM3R6V,,,Undefined
B0DWMPW538,,,Undefined
B0DZNVKPN6,,,Undefined
B0F1MXBL3D,6.38,585.33,Small standard-size
B0DSFKNW3D,,2296.99,Undefined
B0DZNYSVX3,,,Undefined
B0DZXK9LWM,,766.39,Undefined
B0DQ7ZGD4R,,,Undefined
B0F1DXLPVZ,,163.05,Undefined
B0DRFYG2QR,,16.39,Undefined
B0DWMZ4TKK,,,Undefined
B0DZ63DP3H,,,Undefined
B0DRG33QC9,,16.39,Undefined
B0F17GN31T,,237.45,Undefined
B0DZXNTHDF,,439.49,Undefined
B0DYH58LKT,,0.0,Undefined
B0DZ5HFP2Q,,590.67,Undefined
B0F18PPRVZ,,22.12,Undefined
B09LPKFZH7,6.35,564.01,Small standard-size
B0DZXKXG6X,,719.96,Undefined
B0F12BS2JL,4.59,653.24,Small standard-size
B0DZXLMWR5,,538.03,Undefined
B0DYS81ZK7,,,Undefined
B0DZXKXM4B,,348.64,Undefined
B0DRJ89HHB,,1045.63,Undefined
B0DX5M61MX,,16.39,Undefined
B0DL9QVM6Z,,,Undefined
B0DZP3W8TH,,,Undefined
B0F1DGLJQN,,1152.16,Undefined
B0DMVP95QK,,,Undefined
B0DYTFJK9K,,,Undefined
B0DTJFRHWQ,16.0,673.06,Large standard-size
B0F1TS615M,,,Undefined
B0F1FCD14D,19.04,934.6,Large standard-size
B0DZF73TXB,,1720.64,Undefined
B0DT3W1LMF,,696.45,Undefined
B0DX6FPQBS,,,Undefined
B0F1MBHYVV,,,Undefined
B0DSHXX7BH,5.61,605.81,Small standard-size
B0DW9JNVFT,,1415.84,Undefined
B0F1DN48YL,,,Undefined
B0DT7RY2CD,32.0,2049.29,Large standard-size
B0DWMN2LK8,,,Undefined
B0F134XV47,,2714.56,Undefined
B0DT9PY51D,,,Undefined
B0DT6Q8X7P,,2097.54,Undefined
B0F1DVHYNQ,,573.55,Undefined
B0DY9YH9D2,,43.02,Undefined
B0DPH3N33H,,2489.81,Undefined
B0DYK1NV4Q,,235.97,Undefined
B0DRHYFJ9D,,236.22,Undefined
B0DTHQQVMV,,0.0,Undefined
B0D4VHNL2V,,2725.56,Undefined
B0DXPJTDMG,,766.33,Undefined
B0DTJFD29M,,939.75,Undefined
B0DS8DDTGZ,,1558.38,Undefined
B0DXTDLG8Y,,,Undefined
B0DYFBYCB1,,,Undefined
B0DTT1M59C,3.56,1614.48,Small standard-size
B0DZ2523XT,,4449.38,Undefined
B0DZH1CRFB,,3030.32,Undefined
B0F12PZ57W,,,Undefined
B0DY1164Y9,,737.42,Undefined
B0F19G4PLF,45.92,5104.13,Large standard-size
B0DYNMG1QK,,2408.9,Undefined
B0DYH5P1TS,,1415.84,Undefined
B0DZPC565Q,,,Undefined
B0DN1GTBCJ,,,Undefined
B0DSD1TYZG,,4386.7,Undefined
B0DSLBCWGL,,55.9,Undefined
B0DSZW9N5N,,,Undefined
B0DY75BTFX,,,Undefined
B0DWMJ15KN,21.12,1558.99,Large standard-size
B0DT487CMN,,,Undefined
B0DXB4BPY6,1.41,122.9,Small standard-size
B0DP4KWPKS,,,Undefined
B0DS9T9K1D,,1324.54,Undefined
B0DT8NNG13,,3146.32,Undefined
B0DT45JXJ5,,1010.87,Undefined
B0DSGCPMKK,,3029.06,Undefined
