ASIN,Overall_Rating,Review_Count,5Star,4Star,3Star,2Star,1Star
B0DX7FSF7Q,,,100,0,0,0,0
B0DX7L6377,,,82,10,8,0,0
B0DS8RQTQC,,,0,0,0,0,0
B0DS8RFB7R,,,0,0,0,0,0
B0F1F5HCVT,,,0,0,0,0,0
B0F1F8BRG6,,,0,0,0,0,0
B0F186QVFR,,,0,0,0,0,100
B0DP4PGPYZ,5.0,1.0,100,0,0,0,0
B0DYNXLMZX,,,0,0,0,0,0
B0DY76T1CD,,,0,0,0,0,0
B0DPHPBVVN,,,0,0,0,0,0
B0DT5V8KBX,,,0,0,0,0,0
B0F133PNWM,,,0,0,0,0,0
B0F132TBYT,,,0,0,0,0,0
B0DZ3ZJZB9,4.6,198.0,78,13,4,3,2
B0CKHM3R6V,,,0,0,0,0,0
B0DWMPW538,,,0,0,0,0,0
B0DZNVKPN6,4.1,8.0,62,8,15,15,0
B0F1MXBL3D,,,63,0,37,0,0
B0DSFKNW3D,,,0,0,0,0,0
B0DZNYSVX3,,,0,0,0,0,0
B0DZXK9LWM,,,0,0,0,0,0
B0DQ7ZGD4R,,,0,0,0,0,0
B0F1DXLPVZ,,,0,0,0,0,0
B0DRFYG2QR,,,0,0,0,0,0
B0DWMZ4TKK,,,0,0,0,0,0
B0DZ63DP3H,,,0,0,0,0,0
B0DRG33QC9,,,0,0,0,0,0
B0F17GN31T,,,100,0,0,0,0
B0DZXNTHDF,,,0,0,0,0,0
B0DYH58LKT,,,0,0,0,0,0
B0DZ5HFP2Q,,,0,0,0,0,0
B0F18PPRVZ,,,0,0,0,0,0
B09LPKFZH7,,,0,0,0,0,0
B0DZXKXG6X,,,0,0,0,0,0
B0F12BS2JL,4.6,174.0,78,15,3,1,3
B0DZXLMWR5,,,0,0,0,0,0
B0DYS81ZK7,,,0,0,0,0,0
B0DZXKXM4B,,,0,0,0,0,0
B0DRJ89HHB,,,0,100,0,0,0
B0DX5M61MX,,,0,0,0,0,0
B0DL9QVM6Z,,,42,41,17,0,0
B0DZP3W8TH,,,100,0,0,0,0
B0F1DGLJQN,,,59,24,17,0,0
B0DMVP95QK,,,0,0,0,0,0
B0DYTFJK9K,,,0,0,0,0,0
B0DTJFRHWQ,,,54,18,18,10,0
B0F1TS615M,,,100,0,0,0,0
B0F1FCD14D,,,0,0,0,0,0
B0DZF73TXB,,,100,0,0,0,0
B0DT3W1LMF,,,60,40,0,0,0
B0DX6FPQBS,,,0,0,0,0,0
B0F1MBHYVV,5.0,3.0,77,23,0,0,0
B0DSHXX7BH,5.0,2.0,84,12,0,0,4
B0DW9JNVFT,,,70,30,0,0,0
B0F1DN48YL,,,0,0,0,0,0
B0DT7RY2CD,,,0,0,0,0,0
B0DWMN2LK8,,,0,0,0,0,0
B0F134XV47,3.8,24.0,55,10,13,9,13
B0DT9PY51D,,,0,0,0,0,0
B0DT6Q8X7P,,,100,0,0,0,0
B0F1DVHYNQ,,,59,36,0,5,0
B0DY9YH9D2,,,100,0,0,0,0
B0DPH3N33H,,,0,0,0,0,0
B0DYK1NV4Q,,,100,0,0,0,0
B0DRHYFJ9D,4.3,512.0,62,20,11,2,5
B0DTHQQVMV,,,0,0,0,0,0
B0D4VHNL2V,,,0,0,0,0,0
B0DXPJTDMG,,,0,0,0,0,0
B0DTJFD29M,,,43,34,0,0,23
B0DS8DDTGZ,,,0,0,0,0,0
B0DXTDLG8Y,,,0,0,0,0,0
B0DYFBYCB1,,,0,0,0,0,0
B0DTT1M59C,,,0,0,0,0,0
B0DZ2523XT,,,0,0,0,0,0
B0DZH1CRFB,,,0,0,0,0,0
B0F12PZ57W,4.7,28.0,79,15,6,0,0
B0DY1164Y9,,,0,0,0,0,0
B0F19G4PLF,,,34,35,25,6,0
B0DYNMG1QK,,,0,0,0,100,0
B0DYH5P1TS,,,0,0,0,0,0
B0DZPC565Q,,,0,0,0,0,0
B0DN1GTBCJ,5.0,1.0,100,0,0,0,0
B0DSD1TYZG,4.4,,64,21,8,3,4
B0DSLBCWGL,,,62,38,0,0,0
B0DSZW9N5N,,,0,0,0,0,0
B0DY75BTFX,,,0,0,0,0,0
B0DWMJ15KN,5.0,17.0,50,0,50,0,0
B0DT487CMN,,,0,0,0,0,0
B0DXB4BPY6,,,0,0,0,0,0
B0DP4KWPKS,5.0,1.0,76,24,0,0,0
B0DS9T9K1D,4.5,2.0,63,23,14,0,0
B0DT8NNG13,,,0,0,0,0,0
B0DT45JXJ5,,,0,0,0,0,0
B0DSGCPMKK,4.4,,67,17,9,3,4
B0DTFK188R,,,65,0,0,0,35
B0DRY1TMZ5,,,0,0,0,0,0
B0DRY39S5K,,,0,0,0,0,0
B0DS8MQQMQ,5.0,9.0,100,0,0,0,0
B0DSDY36TT,,,100,0,0,0,0
B0DQTPKGVD,4.0,2.0,27,73,0,0,0
B0DGWT6Q1J,,,0,0,0,0,0
B0DWK6DJ8L,,,0,0,0,0,0
B0DXF5SZXN,,,37,16,16,16,15
B0DXDRVB81,,,50,0,0,50,0
B0DTV4RVQC,,,100,0,0,0,0
B0DZ9CCF7W,,,0,0,0,0,0
B0DZDBWTDQ,,,0,0,0,0,0
B0DTTMPT65,,,0,0,0,0,0
B0DXNV5V1J,,,100,0,0,0,0
B0DR8YN72J,5.0,19.0,82,11,0,0,7
