ASIN,dateId,CategoryID,Delivery_time_days,MainRankingValue,AmazonGlobal_Shipping,Estimated_Import_Charge,PriceGroup
B0DX7FSF7Q,1,1,0,1059370.0,35.31,17.34,Low Income
B0DX7L6377,1,1,0,205921.0,35.48,17.13,Low Income
B0DS8RQTQC,2,1,24,,27.38,19.47,Very Low Income
B0DS8RFB7R,3,1,24,214376.0,26.23,21.55,Very Low Income
B0F1F5HCVT,4,1,68,,29.38,35.05,Low Income
B0F1F8BRG6,1,1,47,44899.0,26.19,12.85,Low Income
B0F186QVFR,5,1,47,63283.0,27.54,25.99,Low Income
B0DP4PGPYZ,6,1,0,773334.0,29.34,14.78,Low Income
B0DYNXLMZX,1,1,0,635103.0,26.07,11.74,Very Low Income
B0DY76T1CD,1,1,0,,26.07,10.07,Very Low Income
B0DPHPBVVN,1,1,0,,33.94,14.07,Low Income
B0DT5V8KBX,7,1,48,825729.0,115.36,21.97,Lower-Middle Income
B0F133PNWM,1,1,23,,26.47,11.64,Low Income
B0F132TBYT,1,1,23,877386.0,26.17,19.65,Very Low Income
B0DZ3ZJZB9,1,1,49,1946.0,27.07,11.20,Very Low Income
B0CKHM3R6V,1,1,0,256316.0,31.23,14.93,Low Income
B0DWMPW538,1,1,0,,25.78,20.24,Very Low Income
B0DZNVKPN6,1,1,24,85151.0,25.43,7.30,Very Low Income
B0F1MXBL3D,8,1,24,6141.0,26.59,21.73,Very Low Income
B0DSFKNW3D,9,1,0,,29.38,29.61,Low Income
B0DZNYSVX3,1,1,53,,25.26,16.14,Very Low Income
B0DZXK9LWM,10,1,59,,26.33,4.47,Low Income
B0DQ7ZGD4R,1,1,0,1116447.0,26.18,18.83,Very Low Income
B0F1DXLPVZ,11,1,64,,25.75,19.65,Very Low Income
B0DRFYG2QR,12,1,0,,28.98,19.50,Lower-Middle Income
B0DWMZ4TKK,1,1,0,105597.0,25.39,19.11,Very Low Income
B0DZ63DP3H,1,1,59,,25.36,4.34,Low Income
B0DRG33QC9,12,1,0,,28.98,12.57,Low Income
B0F17GN31T,5,1,64,,,,Low Income
B0DZXNTHDF,10,1,59,,25.87,4.34,Low Income
B0DYH58LKT,13,1,26,220338.0,25.23,11.26,Very Low Income
B0DZ5HFP2Q,14,1,59,,26.02,4.39,Low Income
B0F18PPRVZ,1,1,64,,25.79,18.74,Very Low Income
B09LPKFZH7,15,1,52,,26.59,5.31,Low Income
B0DZXKXG6X,10,1,59,,26.25,4.37,Low Income
B0F12BS2JL,16,1,64,4590.0,,,Low Income
B0DZXLMWR5,10,1,59,,25.93,4.35,Low Income
B0DYS81ZK7,1,1,59,,25.23,3.99,Very Low Income
B0DZXKXM4B,10,1,59,,,,Very Low Income
B0DRJ89HHB,17,1,0,950974.0,26.82,22.49,Low Income
B0DX5M61MX,18,1,0,,25.39,18.91,Very Low Income
B0DL9QVM6Z,1,1,0,179480.0,40.16,9.65,Lower-Middle Income
B0DZP3W8TH,1,1,0,15624.0,27.62,20.53,Low Income
B0F1DGLJQN,11,1,47,1060675.0,31.53,25.80,Low Income
B0DMVP95QK,1,1,0,,32.75,15.35,Low Income
B0DYTFJK9K,1,1,0,34017.0,27.26,21.58,Very Low Income
B0DTJFRHWQ,19,1,0,7941.0,29.66,0.00,Low Income
B0F1TS615M,1,1,0,56015.0,38.77,31.51,Low Income
B0F1FCD14D,4,1,61,557787.0,30.06,31.13,Low Income
B0DZF73TXB,1,1,54,52539.0,27.70,0.00,Low Income
B0DT3W1LMF,1,1,0,1098384.0,27.02,10.13,Very Low Income
B0DX6FPQBS,1,1,0,,25.35,20.51,Low Income
B0F1MBHYVV,1,1,0,67967.0,58.74,55.14,Low Income
B0DSHXX7BH,20,1,0,57855.0,26.39,12.48,Very Low Income
B0DW9JNVFT,1,1,26,32965.0,39.06,21.00,Low Income
B0F1DN48YL,1,1,0,,52.00,33.81,Lower-Middle Income
B0DT7RY2CD,21,1,0,428495.0,33.77,0.00,Low Income
B0DWMN2LK8,1,1,0,,26.55,20.62,Very Low Income
B0F134XV47,22,1,0,53631.0,42.59,48.07,Low Income
B0DT9PY51D,1,1,0,,25.62,4.28,Low Income
B0DT6Q8X7P,1,1,0,1127744.0,28.66,43.40,Lower-Middle Income
B0F1DVHYNQ,11,1,0,804033.0,27.49,24.90,Low Income
B0DY9YH9D2,23,1,24,79079.0,25.51,18.47,Very Low Income
B0DPH3N33H,1,1,64,,29.35,61.83,Lower-Middle Income
B0DYK1NV4Q,1,1,49,96692.0,25.39,10.76,Very Low Income
B0DRHYFJ9D,17,1,0,1417.0,28.42,5.34,Very Low Income
B0DTHQQVMV,24,1,0,308451.0,25.23,22.08,Low Income
B0D4VHNL2V,25,1,0,,29.76,14.18,Very Low Income
B0DXPJTDMG,18,1,0,,26.95,26.74,Low Income
B0DTJFD29M,19,1,0,19931.0,29.66,27.60,Low Income
B0DS8DDTGZ,2,1,0,,27.72,11.64,Low Income
B0DXTDLG8Y,1,1,0,393849.0,29.67,28.78,Low Income
B0DYFBYCB1,1,1,0,101366.0,25.51,17.95,Very Low Income
B0DTT1M59C,26,1,0,298882.0,27.82,4.04,Very Low Income
B0DZ2523XT,1,1,0,,37.10,59.60,Lower-Middle Income
B0DZH1CRFB,1,1,78,,31.57,60.14,Lower-Middle Income
B0F12PZ57W,1,1,0,4211510.0,42.07,51.58,Low Income
B0DY1164Y9,1,1,54,,27.00,22.50,Low Income
B0F19G4PLF,27,1,31,503385.0,36.44,34.53,Low Income
B0DYNMG1QK,1,1,23,2499888.0,29.21,27.43,Low Income
B0DYH5P1TS,1,1,0,1033831.0,34.63,16.85,Low Income
