ASIN,locationID,CategoryID,brandID,manufacturerID,dateId
B0DX7FSF7Q,55.0,1,1,1,1
B0DX7L6377,55.0,1,1,1,1
B0DS8RQTQC,54.0,1,2,2,2
B0DS8RFB7R,54.0,1,2,2,3
B0F1F5HCVT,54.0,1,3,3,4
B0F1F8BRG6,55.0,1,2,2,1
B0F186QVFR,54.0,1,2,2,5
B0DP4PGPYZ,55.0,1,4,4,6
B0DYNXLMZX,55.0,1,5,5,1
B0DY76T1CD,55.0,1,6,6,1
B0DPHPBVVN,55.0,1,7,7,1
B0DT5V8KBX,54.0,1,8,8,7
B0F133PNWM,55.0,1,9,9,1
B0F132TBYT,55.0,1,10,10,1
B0DZ3ZJZB9,55.0,1,11,11,1
B0CKHM3R6V,55.0,1,12,12,1
B0DWMPW538,55.0,1,13,13,1
B0DZNVKPN6,55.0,1,14,12,1
B0F1MXBL3D,54.0,1,15,14,8
B0DSFKNW3D,54.0,1,16,15,9
B0DZNYSVX3,55.0,1,17,16,1
B0DZXK9LWM,54.0,1,17,17,10
B0DQ7ZGD4R,55.0,1,4,18,1
B0F1DXLPVZ,54.0,1,18,19,11
B0DRFYG2QR,54.0,1,19,20,12
B0DWMZ4TKK,55.0,1,20,12,1
B0DZ63DP3H,55.0,1,17,16,1
B0DRG33QC9,54.0,1,19,20,12
B0F17GN31T,55.0,1,21,21,5
B0DZXNTHDF,54.0,1,17,22,10
B0DYH58LKT,54.0,1,22,23,13
B0DZ5HFP2Q,54.0,1,17,24,14
B0F18PPRVZ,55.0,1,23,25,1
B09LPKFZH7,54.0,1,24,26,15
B0DZXKXG6X,54.0,1,17,27,10
B0F12BS2JL,55.0,1,25,28,16
B0DZXLMWR5,54.0,1,17,29,10
B0DYS81ZK7,55.0,1,17,16,1
B0DZXKXM4B,54.0,1,17,16,10
B0DRJ89HHB,55.0,1,26,30,17
B0DX5M61MX,55.0,1,27,31,18
B0DL9QVM6Z,55.0,1,28,12,1
B0DZP3W8TH,55.0,1,29,32,1
B0F1DGLJQN,55.0,1,30,33,11
B0DMVP95QK,55.0,1,2,34,1
B0DYTFJK9K,55.0,1,31,12,1
B0DTJFRHWQ,47.0,1,32,35,19
B0F1TS615M,55.0,1,33,36,1
B0F1FCD14D,54.0,1,34,37,4
B0DZF73TXB,55.0,1,35,38,1
B0DT3W1LMF,55.0,1,36,39,1
B0DX6FPQBS,55.0,1,37,12,1
B0F1MBHYVV,55.0,1,38,40,1
B0DSHXX7BH,54.0,1,39,41,20
B0DW9JNVFT,55.0,1,32,35,1
B0F1DN48YL,55.0,1,40,12,1
B0DT7RY2CD,47.0,1,41,42,21
B0DWMN2LK8,55.0,1,42,12,1
B0F134XV47,54.0,1,43,43,22
B0DT9PY51D,55.0,1,44,44,1
B0DT6Q8X7P,55.0,1,45,45,1
B0F1DVHYNQ,55.0,1,30,46,11
B0DY9YH9D2,54.0,1,46,47,23
B0DPH3N33H,55.0,1,47,48,1
B0DYK1NV4Q,55.0,1,48,49,1
B0DRHYFJ9D,54.0,1,49,50,17
B0DTHQQVMV,54.0,1,50,51,24
B0D4VHNL2V,54.0,1,51,52,25
B0DXPJTDMG,54.0,1,52,53,18
B0DTJFD29M,47.0,1,32,54,19
B0DS8DDTGZ,54.0,1,53,55,2
B0DXTDLG8Y,55.0,1,54,12,1
B0DYFBYCB1,55.0,1,2,56,1
B0DTT1M59C,54.0,1,55,57,26
B0DZ2523XT,55.0,1,56,58,1
B0DZH1CRFB,55.0,1,57,59,1
B0F12PZ57W,55.0,1,58,60,1
B0DY1164Y9,55.0,1,2,61,1
B0F19G4PLF,54.0,1,59,62,27
B0DYNMG1QK,55.0,1,60,63,1
B0DYH5P1TS,55.0,1,2,64,1
B0DZPC565Q,55.0,1,2,65,1
B0DN1GTBCJ,55.0,1,61,66,1
B0DSD1TYZG,54.0,1,62,67,1
B0DSLBCWGL,54.0,1,63,68,28
B0DSZW9N5N,55.0,1,64,69,1
B0DY75BTFX,55.0,1,65,70,1
B0DWMJ15KN,54.0,1,66,71,29
B0DT487CMN,55.0,1,67,12,1
B0DXB4BPY6,54.0,1,68,72,5
B0DP4KWPKS,55.0,1,69,73,1
