ASIN,price_before_discount,discount_percentage,price,locationID,CategoryID,brandID,dateId,manufacturerID
B0DX7FSF7Q,29.0,0.0,29.0,55.0,1,1,1,1
B0DX7L6377,23.0,0.0,23.0,55.0,1,1,1,1
B0DS8RQTQC,9.0,0.0,9.0,,1,2,2,2
B0DS8RFB7R,9.0,0.0,9.0,,1,2,3,2
B0F1F5HCVT,31.0,0.0,31.0,,1,3,4,3
B0F1F8BRG6,19.0,0.0,19.0,55.0,1,2,1,2
B0F186QVFR,29.0,0.0,29.0,,1,2,5,2
B0DP4PGPYZ,16.0,0.0,16.0,55.0,1,4,6,4
B0DYNXLMZX,6.0,0.0,6.0,55.0,1,5,1,5
B0DY76T1CD,6.0,0.0,6.0,55.0,1,6,1,6
B0DPHPBVVN,15.0,0.0,15.0,55.0,1,7,1,7
B0DT5V8KBX,125.0,0.0,125.0,,1,8,7,8
B0F133PNWM,13.0,0.0,13.0,55.0,1,9,1,9
B0F132TBYT,7.0,0.0,7.0,55.0,1,10,1,10
B0DZ3ZJZB9,9.0,0.0,9.0,55.0,1,11,1,11
B0CKHM3R6V,19.0,0.0,19.0,55.0,1,12,1,12
B0DWMPW538,7.0,0.0,7.0,55.0,1,13,1,13
B0DZNVKPN6,7.0,0.0,7.0,55.0,1,14,1,12
B0F1MXBL3D,9.0,0.0,9.0,,1,15,8,14
B0DSFKNW3D,36.0,0.0,36.0,,1,16,9,15
B0DZNYSVX3,8.0,0.0,8.0,55.0,1,17,1,16
B0DZXK9LWM,13.0,0.0,13.0,,1,17,10,17
B0DQ7ZGD4R,6.0,0.0,6.0,55.0,1,4,1,18
B0F1DXLPVZ,6.0,0.0,6.0,,1,18,11,19
B0DRFYG2QR,70.0,0.0,70.0,,1,19,12,20
B0DWMZ4TKK,5.0,0.0,5.0,55.0,1,20,1,12
B0DZ63DP3H,12.0,0.0,12.0,55.0,1,17,1,16
B0DRG33QC9,32.0,0.0,32.0,,1,19,12,20
B0F17GN31T,13.0,0.0,13.0,55.0,1,21,5,21
B0DZXNTHDF,12.0,0.0,12.0,,1,17,10,22
B0DYH58LKT,9.0,0.0,9.0,,1,22,13,23
B0DZ5HFP2Q,12.0,0.0,12.0,,1,17,14,24
B0F18PPRVZ,9.0,0.0,9.0,55.0,1,23,1,25
B09LPKFZH7,22.0,0.0,22.0,,1,24,15,26
B0DZXKXG6X,12.0,0.0,12.0,,1,17,10,27
B0F12BS2JL,29.0,0.0,29.0,55.0,1,25,16,28
B0DZXLMWR5,12.0,0.0,12.0,,1,17,10,29
B0DYS81ZK7,8.0,0.0,8.0,55.0,1,17,1,16
B0DZXKXM4B,9.0,0.0,9.0,,1,17,10,16
B0DRJ89HHB,16.0,0.0,16.0,55.0,1,26,17,30
B0DX5M61MX,5.0,0.0,5.0,55.0,1,27,18,31
B0DL9QVM6Z,59.0,0.0,59.0,55.0,1,28,1,12
B0DZP3W8TH,16.0,0.0,16.0,55.0,1,29,1,32
B0F1DGLJQN,19.0,0.0,19.0,55.0,1,30,11,33
B0DMVP95QK,19.0,0.0,19.0,55.0,1,2,1,34
B0DYTFJK9K,9.0,0.0,9.0,55.0,1,31,1,12
B0DTJFRHWQ,16.0,0.0,16.0,,1,32,19,35
B0F1TS615M,15.0,0.0,15.0,55.0,1,33,1,36
B0F1FCD14D,23.0,0.0,23.0,,1,34,4,37
B0DZF73TXB,24.0,0.0,24.0,55.0,1,35,1,38
B0DT3W1LMF,6.0,0.0,6.0,55.0,1,36,1,39
B0DX6FPQBS,13.0,0.0,13.0,55.0,1,37,1,12
B0F1MBHYVV,49.0,0.0,49.0,55.0,1,38,1,40
B0DSHXX7BH,9.0,0.0,9.0,,1,39,20,41
B0DW9JNVFT,34.0,0.0,34.0,55.0,1,32,1,35
B0F1DN48YL,69.0,0.0,69.0,55.0,1,40,1,12
B0DT7RY2CD,19.0,0.0,19.0,,1,41,21,42
B0DWMN2LK8,7.0,0.0,7.0,55.0,1,42,1,12
B0F134XV47,40.0,0.0,40.0,,1,43,22,43
B0DT9PY51D,12.0,0.0,12.0,55.0,1,44,1,44
B0DT6Q8X7P,55.0,0.0,55.0,55.0,1,45,1,45
B0F1DVHYNQ,14.0,0.0,14.0,55.0,1,30,11,46
B0DY9YH9D2,8.0,0.0,8.0,,1,46,23,47
B0DPH3N33H,69.0,0.0,69.0,55.0,1,47,1,48
B0DYK1NV4Q,9.0,0.0,9.0,55.0,1,48,1,49
B0DRHYFJ9D,9.0,0.0,9.0,,1,49,17,50
B0DTHQQVMV,11.0,0.0,11.0,,1,50,24,51
B0D4VHNL2V,9.0,0.0,9.0,,1,51,25,52
B0DXPJTDMG,19.0,0.0,19.0,,1,52,18,53
B0DTJFD29M,19.0,0.0,19.0,,1,32,19,54
B0DS8DDTGZ,11.0,0.0,11.0,,1,53,2,55
B0DXTDLG8Y,19.0,0.0,19.0,55.0,1,54,1,12
B0DYFBYCB1,3.0,0.0,3.0,55.0,1,2,1,56
B0DTT1M59C,9.0,0.0,9.0,,1,55,26,57
B0DZ2523XT,69.0,0.0,69.0,55.0,1,56,1,58
B0DZH1CRFB,64.0,0.0,64.0,55.0,1,57,1,59
B0F12PZ57W,49.0,0.0,49.0,55.0,1,58,1,60
B0DY1164Y9,10.0,0.0,10.0,55.0,1,2,1,61
B0F19G4PLF,23.0,0.0,23.0,,1,59,27,62
B0DYNMG1QK,23.0,0.0,23.0,55.0,1,60,1,63
B0DYH5P1TS,26.0,0.0,26.0,55.0,1,2,1,64
B0DZPC565Q,22.0,0.0,22.0,55.0,1,2,1,65
B0DN1GTBCJ,16.0,0.0,16.0,55.0,1,61,1,66
B0DSD1TYZG,19.0,0.0,19.0,,1,62,1,67
B0DSLBCWGL,8.0,0.0,8.0,,1,63,28,68
B0DSZW9N5N,10.0,0.0,10.0,55.0,1,64,1,69
B0DY75BTFX,19.0,0.0,19.0,55.0,1,65,1,70
B0DWMJ15KN,23.0,0.0,23.0,,1,66,29,71
B0DT487CMN,22.0,0.0,22.0,55.0,1,67,1,12
B0DXB4BPY6,12.0,0.0,12.0,,1,68,5,72
B0DP4KWPKS,39.0,0.0,39.0,55.0,1,69,1,73
B0DS9T9K1D,8.0,0.0,8.0,55.0,1,70,30,74
B0DT8NNG13,29.0,0.0,29.0,,1,67,31,75
B0DT45JXJ5,29.0,0.0,29.0,,1,67,32,76
B0DSGCPMKK,17.0,0.0,17.0,,1,71,16,77
B0DTFK188R,23.0,0.0,23.0,,1,72,33,78
B0DRY1TMZ5,12.0,0.0,12.0,,1,73,34,79
B0DRY39S5K,19.0,0.0,19.0,,1,73,34,79
B0DS8MQQMQ,13.0,0.0,13.0,55.0,1,74,35,80
B0DSDY36TT,22.0,0.0,22.0,55.0,1,75,1,81
B0DQTPKGVD,59.0,0.0,59.0,55.0,1,76,1,82
B0DGWT6Q1J,49.0,0.0,49.0,55.0,1,77,1,12
B0DWK6DJ8L,5.0,0.0,5.0,,1,78,10,83
B0DXF5SZXN,14.0,0.0,14.0,,1,79,36,84
B0DXDRVB81,14.0,0.0,14.0,,1,79,36,84
B0DTV4RVQC,15.0,0.0,15.0,,1,46,26,85
B0DZ9CCF7W,25.0,0.0,25.0,,1,80,14,86
B0DZDBWTDQ,21.0,0.0,21.0,,1,80,21,87
B0DTTMPT65,8.0,0.0,8.0,55.0,1,81,26,88
B0DXNV5V1J,7.0,0.0,7.0,55.0,1,14,1,89
B0DR8YN72J,29.0,0.0,29.0,55.0,1,82,1,90
B0DYTPZ5S2,35.0,0.0,35.0,55.0,1,83,1,91
B0DYPFDT2L,11.0,0.0,11.0,,1,84,37,92
B0DY15KN8D,39.0,0.0,39.0,55.0,1,85,1,93
B0DZSFV8SY,16.0,0.0,16.0,,1,86,38,94
B0DZ2GCSF4,17.0,0.0,17.0,,1,29,39,32
