Department,Sub Department,Product Name,Price,Coupon Discount,Rating,Review,Link,Image URL,Day Delivered,Date Added
Automotive,Oils & Fluids,TSI Supercool Total Leak Stop - 1/4 oz for HVAC Box (No Applicator),21.0,0,,,https://www.amazon.com/TSI-Supercool-Total-Leak-Stop/dp/B0DZ944D2P/ref=sr_1_1?dib=eyJ2IjoiMSJ9.2ZAdSVlW1uX5G_EARjAVKQEDdgVaAex6UbeMPm87EHNGu3xqbd4EqGKzfC94xBKLmQgyoEvcCV8oXQhu29lRSgEaAe6weqBzf_SNMTQQSmtolPObgkELxxf9Mc3Mr8IClUjxcOMe3nV3ghuZcp3M3dDeuiJ1KlS3D7Ranyud_uDu3Gn95pyKW5eJ3p6BH_8cZ0LjumWd0oqSqcU7M8Zz4F5RhG32ie3bkk26tWufLNVT-bEdDC3nmRxJp3PdJs7S0uilmILjXoNwtG2Am0JUoSdgAxRD6-JNlZxYSAblo9c.TK-3nKj9Ps2KlaTbKkdouq28bijLaPibkOHhtYMIwYE&dib_tag=se&qid=1743745948&s=automotive-intl-ship&sr=1-1,https://m.media-amazon.com/images/I/71Y+mhblhaL._AC_UL320_.jpg,,2025-04-04
Automotive,Oils & Fluids,TSI Supercool Total Leak Stop - 1/4 oz for HVAC - MOQ 24 in a White Box,31.0,0,,,https://www.amazon.com/TSI-Supercool-Total-Leak-Stop/dp/B0DZ9KZ327/ref=sr_1_2?dib=eyJ2IjoiMSJ9.2ZAdSVlW1uX5G_EARjAVKQEDdgVaAex6UbeMPm87EHNGu3xqbd4EqGKzfC94xBKLmQgyoEvcCV8oXQhu29lRSgEaAe6weqBzf_SNMTQQSmtolPObgkELxxf9Mc3Mr8IClUjxcOMe3nV3ghuZcp3M3dDeuiJ1KlS3D7Ranyud_uDu3Gn95pyKW5eJ3p6BH_8cZ0LjumWd0oqSqcU7M8Zz4F5RhG32ie3bkk26tWufLNVT-bEdDC3nmRxJp3PdJs7S0uilmILjXoNwtG2Am0JUoSdgAxRD6-JNlZxYSAblo9c.TK-3nKj9Ps2KlaTbKkdouq28bijLaPibkOHhtYMIwYE&dib_tag=se&qid=1743745948&s=automotive-intl-ship&sr=1-2,https://m.media-amazon.com/images/I/71SZBAfCqOL._AC_UL320_.jpg,,2025-04-04
Automotive,Oils & Fluids,"USA Standard Gear Fluid New Venture 4500'S, GL-4",40.0,0,,,https://www.amazon.com/USA-Standard-Gear-Fluid-Venture/dp/B0F38FR3DV/ref=sr_1_3?dib=eyJ2IjoiMSJ9.2ZAdSVlW1uX5G_EARjAVKQEDdgVaAex6UbeMPm87EHNGu3xqbd4EqGKzfC94xBKLmQgyoEvcCV8oXQhu29lRSgEaAe6weqBzf_SNMTQQSmtolPObgkELxxf9Mc3Mr8IClUjxcOMe3nV3ghuZcp3M3dDeuiJ1KlS3D7Ranyud_uDu3Gn95pyKW5eJ3p6BH_8cZ0LjumWd0oqSqcU7M8Zz4F5RhG32ie3bkk26tWufLNVT-bEdDC3nmRxJp3PdJs7S0uilmILjXoNwtG2Am0JUoSdgAxRD6-JNlZxYSAblo9c.TK-3nKj9Ps2KlaTbKkdouq28bijLaPibkOHhtYMIwYE&dib_tag=se&qid=1743745948&s=automotive-intl-ship&sr=1-3,https://m.media-amazon.com/images/I/61+w-FRSGSL._AC_UL320_.jpg,,2025-04-04
Automotive,Oils & Fluids,"Carburetor Cleaning Kit, Torch Tip Dirt Cleaner Set 3 Double-Ended Polishing Brushes 5 Cleaning Brushes 23 Needles for ATV Welder Motorcycle Spray Guns Torch Tips",7.0,0,,,https://www.amazon.com/Carburetor-Cleaning-Double-Ended-Polishing-Motorcycle/dp/B0F2H5QYXW/ref=sr_1_4?dib=eyJ2IjoiMSJ9.2ZAdSVlW1uX5G_EARjAVKQEDdgVaAex6UbeMPm87EHNGu3xqbd4EqGKzfC94xBKLmQgyoEvcCV8oXQhu29lRSgEaAe6weqBzf_SNMTQQSmtolPObgkELxxf9Mc3Mr8IClUjxcOMe3nV3ghuZcp3M3dDeuiJ1KlS3D7Ranyud_uDu3Gn95pyKW5eJ3p6BH_8cZ0LjumWd0oqSqcU7M8Zz4F5RhG32ie3bkk26tWufLNVT-bEdDC3nmRxJp3PdJs7S0uilmILjXoNwtG2Am0JUoSdgAxRD6-JNlZxYSAblo9c.TK-3nKj9Ps2KlaTbKkdouq28bijLaPibkOHhtYMIwYE&dib_tag=se&qid=1743745948&s=automotive-intl-ship&sr=1-4,https://m.media-amazon.com/images/I/713D5UFsbeL._AC_UL320_.jpg,31 ngày (ngày giao May 6),2025-04-04
Automotive,Oils & Fluids,Xotic Performance Assembly Lubricant LR103,10.0,0,,,https://www.amazon.com/Xotic-Performance-Assembly-Lubricant-LR103/dp/B0DKC57SNK/ref=sr_1_5?dib=eyJ2IjoiMSJ9.2ZAdSVlW1uX5G_EARjAVKQEDdgVaAex6UbeMPm87EHNGu3xqbd4EqGKzfC94xBKLmQgyoEvcCV8oXQhu29lRSgEaAe6weqBzf_SNMTQQSmtolPObgkELxxf9Mc3Mr8IClUjxcOMe3nV3ghuZcp3M3dDeuiJ1KlS3D7Ranyud_uDu3Gn95pyKW5eJ3p6BH_8cZ0LjumWd0oqSqcU7M8Zz4F5RhG32ie3bkk26tWufLNVT-bEdDC3nmRxJp3PdJs7S0uilmILjXoNwtG2Am0JUoSdgAxRD6-JNlZxYSAblo9c.TK-3nKj9Ps2KlaTbKkdouq28bijLaPibkOHhtYMIwYE&dib_tag=se&qid=1743745948&s=automotive-intl-ship&sr=1-5,https://m.media-amazon.com/images/I/61L64QKmfCL._AC_UL320_.jpg,,2025-04-04
Automotive,Oils & Fluids,DT-51190 Transmission Oil Fill Adapter Replacement Part Compatible with GM 8L90 Engine,49.0,0,,,https://www.amazon.com/Gevodakun-DT-51190-Transmission-Replacement-Compatible/dp/B0DZG1N11M/ref=sr_1_6?dib=eyJ2IjoiMSJ9.2ZAdSVlW1uX5G_EARjAVKQEDdgVaAex6UbeMPm87EHNGu3xqbd4EqGKzfC94xBKLmQgyoEvcCV8oXQhu29lRSgEaAe6weqBzf_SNMTQQSmtolPObgkELxxf9Mc3Mr8IClUjxcOMe3nV3ghuZcp3M3dDeuiJ1KlS3D7Ranyud_uDu3Gn95pyKW5eJ3p6BH_8cZ0LjumWd0oqSqcU7M8Zz4F5RhG32ie3bkk26tWufLNVT-bEdDC3nmRxJp3PdJs7S0uilmILjXoNwtG2Am0JUoSdgAxRD6-JNlZxYSAblo9c.TK-3nKj9Ps2KlaTbKkdouq28bijLaPibkOHhtYMIwYE&dib_tag=se&qid=1743745948&s=automotive-intl-ship&sr=1-6,https://m.media-amazon.com/images/I/51IVhyP-m2L._AC_UL320_.jpg,16 ngày (ngày giao Apr 21),2025-04-04
Automotive,Oils & Fluids,"Automotive Oil Film Cleaning Brush, Car Windshield Cleaner, Clear Vision Glass Cleaner, Prevents Rain and Fog Cleaning Glass Brush (2pcs) (2)",14.0,0,1.8,7.0,https://www.amazon.com/LJRHYEH-Automotive-Cleaning-Windshield-Prevents/dp/B0F2T4CWVF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.2ZAdSVlW1uX5G_EARjAVKQEDdgVaAex6UbeMPm87EHNGu3xqbd4EqGKzfC94xBKLmQgyoEvcCV8oXQhu29lRSgEaAe6weqBzf_SNMTQQSmtolPObgkELxxf9Mc3Mr8IClUjxcOMe3nV3ghuZcp3M3dDeuiJ1KlS3D7Ranyud_uDu3Gn95pyKW5eJ3p6BH_8cZ0LjumWd0oqSqcU7M8Zz4F5RhG32ie3bkk26tWufLNVT-bEdDC3nmRxJp3PdJs7S0uilmILjXoNwtG2Am0JUoSdgAxRD6-JNlZxYSAblo9c.TK-3nKj9Ps2KlaTbKkdouq28bijLaPibkOHhtYMIwYE&dib_tag=se&qid=1743745948&s=automotive-intl-ship&sr=1-7,https://m.media-amazon.com/images/I/713GOgb1-nL._AC_UL320_.jpg,65 ngày (ngày giao Jun 9),2025-04-04
Automotive,Oils & Fluids,"Plumbers Pipe Sealant Tape Flex Seal Tape Waterproof (20 Roll) PTFE Tape,Sealing Tape,Plumbing Tape,Sealant Tape,Thread Seal for Shower Head",26.0,0,,,https://www.amazon.com/Plumbers-Sealant-Waterproof-Sealing-Plumbing/dp/B0F23P2DTK/ref=sr_1_8?dib=eyJ2IjoiMSJ9.2ZAdSVlW1uX5G_EARjAVKQEDdgVaAex6UbeMPm87EHNGu3xqbd4EqGKzfC94xBKLmQgyoEvcCV8oXQhu29lRSgEaAe6weqBzf_SNMTQQSmtolPObgkELxxf9Mc3Mr8IClUjxcOMe3nV3ghuZcp3M3dDeuiJ1KlS3D7Ranyud_uDu3Gn95pyKW5eJ3p6BH_8cZ0LjumWd0oqSqcU7M8Zz4F5RhG32ie3bkk26tWufLNVT-bEdDC3nmRxJp3PdJs7S0uilmILjXoNwtG2Am0JUoSdgAxRD6-JNlZxYSAblo9c.TK-3nKj9Ps2KlaTbKkdouq28bijLaPibkOHhtYMIwYE&dib_tag=se&qid=1743745948&s=automotive-intl-ship&sr=1-8,https://m.media-amazon.com/images/I/61nGH6w+oPL._AC_UL320_.jpg,,2025-04-04
Automotive,Oils & Fluids,Instantly eliminate coolant leaks! For Ford Radiator Hose and T-Pipe Seal Kit with Pre-Greased O-Ring Gasket for Easy Installation - For Ford F-150 5.0l and Mustang Models 2 Sets,21.0,0,,,https://www.amazon.com/Instantly-eliminate-Radiator-Pre-Greased-Installation/dp/B0F2YZ3NHM/ref=sr_1_9?dib=eyJ2IjoiMSJ9.2ZAdSVlW1uX5G_EARjAVKQEDdgVaAex6UbeMPm87EHNGu3xqbd4EqGKzfC94xBKLmQgyoEvcCV8oXQhu29lRSgEaAe6weqBzf_SNMTQQSmtolPObgkELxxf9Mc3Mr8IClUjxcOMe3nV3ghuZcp3M3dDeuiJ1KlS3D7Ranyud_uDu3Gn95pyKW5eJ3p6BH_8cZ0LjumWd0oqSqcU7M8Zz4F5RhG32ie3bkk26tWufLNVT-bEdDC3nmRxJp3PdJs7S0uilmILjXoNwtG2Am0JUoSdgAxRD6-JNlZxYSAblo9c.TK-3nKj9Ps2KlaTbKkdouq28bijLaPibkOHhtYMIwYE&dib_tag=se&qid=1743745948&s=automotive-intl-ship&sr=1-9,https://m.media-amazon.com/images/I/61VAYJgTAfL._AC_UL320_.jpg,31 ngày (ngày giao May 6),2025-04-04
Automotive,Oils & Fluids,Upgraded OEM 16913 Dual-Pack 16900/16910 CoolTech Systems - R1234YF Refrigerant Compatible Oil Mist/Particulate Retention Module with Red Change Indicator (2 Units),118.0,0,,,https://www.amazon.com/Upgraded-16913-Dual-Pack-CoolTech-Systems/dp/B0F24H3XHF/ref=sr_1_10?dib=eyJ2IjoiMSJ9.2ZAdSVlW1uX5G_EARjAVKQEDdgVaAex6UbeMPm87EHNGu3xqbd4EqGKzfC94xBKLmQgyoEvcCV8oXQhu29lRSgEaAe6weqBzf_SNMTQQSmtolPObgkELxxf9Mc3Mr8IClUjxcOMe3nV3ghuZcp3M3dDeuiJ1KlS3D7Ranyud_uDu3Gn95pyKW5eJ3p6BH_8cZ0LjumWd0oqSqcU7M8Zz4F5RhG32ie3bkk26tWufLNVT-bEdDC3nmRxJp3PdJs7S0uilmILjXoNwtG2Am0JUoSdgAxRD6-JNlZxYSAblo9c.TK-3nKj9Ps2KlaTbKkdouq28bijLaPibkOHhtYMIwYE&dib_tag=se&qid=1743745948&s=automotive-intl-ship&sr=1-10,https://m.media-amazon.com/images/I/61E0czQ5CSL._AC_UL320_.jpg,,2025-04-04
