Dimension,ASIN,Date_First_Available,Manufacturer,Store,Country_of_Origin,Best_Sellers_Rank,Color,Item_Model_Number,Item_Weight,Price,Amazon_Global_Shipping,Estimated_Import_Charges,Description,5-star,4-star,3-star,2-star,1-star
3.54 x 2.36 x 1.18 inches,B0DSH2S83D,None,DT-51190,Brand: KMBNTU,None,None,None,DT-51190,None,$40.99,None,None,"['Compatibility: Designed as a transmission oil fill adapter for GM 8L90 engines, ensuring a perfect fit and seamless installation', 'Replacement Part: Serves as a direct replacement for the DT-51190 part number', 'Durable Construction: The transmission oil fill adapter is made of high-quality materials that can withstand the needs of automotive applications and provide long-lasting performance', 'Easy Installation: Straightforward installation process, allowing for efficient and hassle-free maintenance or repair tasks', 'Buy With Confidence: Once there is a problem with this transmission oil fill adapter, contact us here to solve it perfectly for you, without worrying about after-sales problems']",0%,0%,0%,0%,0%
8.81 x 2.88 x 2.88 inches; 10.41 ounces,B0DRW9G5QD,None,J-B Weld,J-B Weld Store,None,None,None,31314-2,None,$12.99,None,None,"['J-B Weld Hi-Temp Red Silicone Gasket Maker and Sealant is an RTV Silicone gasketing material, designed for use in mechanical assemblies where the existence of higher, continuous temperatures up 650°F.', 'Upon curing, which occurs when the product is exposed to the moisture in air, the silicone forms a tough, waterproof seal on most surfaces.', 'It will not shrink or crack, resists weathering, and is great for many automotive applications.', 'Great for oil pans, valve covers, exhaust manifolds, differential covers and more']",80,13,4,1,2
7.4 x 5.7 x 0.47 inches; 3.2 ounces,B0DQ5HKRN5,None,Generic,Brand: Generic,None,None,None,Carburetor Cleaning Tool,None,$9.99,None,None,"['Comprehensive Tool Set: This carburetor cleaning tool kit features 2 stainless steel wire double-ended brushes, 2 phosphor bronze wire double-ended brushes, and 4 nylon double-ended picks. Designed for precision, these tools effectively remove stubborn clogs, making them ideal for cleaning welding torch tips and gas orifices', 'Durable and Reusable: Crafted for longevity, this carburetor cleaner kit can be reused multiple times to clear debris from jets and small orifices. Perfect for unclogging natural gas and propane jets, as well as engine carburetors, ensuring optimal performance every time', 'User-Friendly Design: The spiral-shaped cutting torch nozzle cleaner is specifically engineered to address clogs caused by residue buildup during cutting. Regular use not only unclogs nozzles but also enhances their durability, making your cutting tools more efficient', 'High-Quality Materials: Made from high-density nylon and premium stainless steel, our carburetor cleaning tools are rust-resistant, non-deformable, and durable. The spiral bristles penetrate deep into narrow passages for a thorough and effective cleaning, ensuring no debris is left behind', 'Versatile Applications: This welding gun nozzle cleaning tool kit is perfect for a variety of uses, including cleaning small holes in spray guns, nozzles, pneumatic tools, and camping stoves. It is also suitable for most vehicles, motorcycles, ATVs, welding machines, tattoo machines, lawn equipment, and other small engine carburetors']",100,0%,0%,0%,0%
0.04 x 0.04 x 0.04 inches,B0DNSMPDDH,None,VOWBMPN12,Brand: Vowbrew,None,None,None,VOWBRG606BL-30PS,None,$5.09,None,None,"['Package List: Package includes 1 piece 13.1 Ft windshield washer hose, 30 pieces hose connectors, including T-connector, measuring 1.34 "" x 0.8 "", I-connector, measuring 1.3 "", Y-connector, measuring 1.4 "" x 1.1 "".', 'Flexible Material: This cleaning hose is made of rubber material, with good flexibility and wear resistance, not easy to age. It is not easy to break when bent, and does not affect the jet, so you can use it with confidence.', 'Plastic Connector: This hose connector is made of plastic material, one-piece molding process, reliable workmanship, not easy to rust, ensuring the purity of the cleaning water. The structure is sturdy and durable, with good sealing and not easy to leak.', 'Function: The product can directly connect the water pump and nozzle correctly, restore the original function, ensure that the cleaning water can be sprayed smoothly on the windshield surface, restore a clear view, and drive safer.', 'Universal Accessories: This product directly replaces the damaged leaking hose, suitable for most cars, trucks, etc. The hose can be freely cut to meet your usage needs. Precision design, tight connection, not easy to fall off.']",0%,0%,0%,0%,0%
5 x 2 x 0.05 inches,B0DP9C95TY,None,DT-51190,KAKSEY Store,None,None,None,DT-51190,None,$41.49,None,None,"['Compatibility: Transmission oil fill adapter for GM 8L90. For GM 8L90 Engine, it has no oil fill tube. Replace: DT-51190. Material: steel', 'Product Feature: The filling adapter threads into the bottom of the pan for filling of the transmission using the J-45096 TransFlow', 'Direct Replacement: Meets OE standards and matches the original oil fill adapter. Direct replacement for genuine OEM parts and works as smoothly as the original', ""Product Function: The oil filling adapter connects to the transmission's oil fill port, simplifying the oil filling process and preventing fluid leakage"", 'Service: We will provide excellent service and do our best to give you a satisfactory answer']",0%,0%,0%,0%,0%
2.4 x 2.09 x 1.73 inches,B0DR75PC4S,None,JQA001TOFA,Brand: JKIANTECH,None,None,None,DT-51190,None,$30.99,None,None,"['【Precise Fit for GM 8L90 Transmission】- Designed specifically fit for GM 8-speed automatic transmissions, including 8L90, ensuring a secure connection to the fill port for accurate fluid filling and maintenance. DT-51190 threads into the bottom of the pan for filling of the transmission using the J-45096 TransFlow', '【Durable OEM-Quality Construction】- Made from high-strength, corrosion-resistant materials to withstand repeated use in demanding automotive environments, delivering long-lasting performance', '【Efficient & Clean Fluid Filling】- Works seamlessly with standard fluid pumps, enabling quick and spill-free transmission fluid filling to the exact level specified by GM guidelines', '【Essential Tool for Professionals and DIYers】- Ideal for both professional mechanics and automotive enthusiasts, this adapter simplifies the process of fluid replacement and level calibration, saving time and effort', '【Compatible with GM-Approved Fluids】- Specifically engineered for use with approved transmission fluids, to ensure proper lubrication and optimal performance of your vehicle’s transmission']",0%,0%,0%,0%,0%
6.69 x 2.44 x 1.73 inches; 0.63 ounces,B0DP6WB9YS,None,Choowin,Brand: Choowin,None,None,None,None,None,$9.99,None,None,"['HIGH-QUALITY PINEWOOD CAR GRAPHITE POWDER : Our graphite powder is made of high purity natural flake graphite. High purity (99%), large flakes, moderate mesh size (3000 mesh), easier to adhere, and can effectively form a lubricating film barrier on the surface.', 'MINIMIZE FRICTION : Our pinewood derby car graphite powder will minimize the friction between your pine derby car wheels and axles. It will make your pinewood car faster and help you win the race.', 'EASY TO USE : Our graphite lubricant comes with a metal pointed tip, which can be easily applied to pinewood derby wheels and axles. And it comes with a plastic cap for long-term storage and use.', 'WIDE RANGE OF USES : This graphite dry film lubricant can also be used as a lock lubricant, door hinge lubricant, suitable for squeaky hinges, bicycles, tools and rusty surfaces.', 'SERVICE SUPPORT : If you have any questions about the product or need help, please feel free to contact us. We will provide you with the most thoughtful service.']",86,14,0%,0%,0%
4.76 x 2.32 x 2.32 inches; 8.78 ounces,B0DPH6VLH6,None,Keze,Keze Store,None,None,None,CA-Dielectric-8oz,None,$15.99,None,None,"['Protect Battery Terminals & Connectors: Shield your car’s battery terminals and electrical connections from moisture, salt, and corrosion. Seal, lubricate and insulate to prevent leaks and damage, ensuring top performance and vehicle quality.', 'Perfect for Spark Plugs: Extend the life of spark plugs, bulb sockets, and ignition coils with this non-conductive grease. It prevents arcing and corrosion for optimal engine performance.', 'Withstands Extreme Temperatures: Built to withstand freezing winters and scorching summers, this grease stays effective from -40°F to 428°F, ensuring year-round protection.', 'Waterproof & Corrosion-Resistant: Prevent rust and corrosion with this durable, waterproof formula. Ideal for vehicles exposed to rain, snow, or coastal environments.', 'Easy to Apply, Long-Lasting: Its smooth, non-drying formula is easy to apply and provides long-lasting protection, reducing maintenance and saving you time.']",88,10,0%,0%,2
35.6 x 14.2 x 8 inches,B0DLW7CWSZ,None,EW6516,ELITEWILL Store,None,None,None,EW6516,None,$226.99,None,None,"['Perfect Fit for Chevy Silverado GMC Sierra 1500 Long Bed (2007-2014) – Specifically designed to repair the 2007-2014 2nd Gen Chevrolet Silverado and 3rd gen GMC Sierra 1500 Ext & Crew Cab, this pickup Frame Rust Repair Kit ensures a precise fit, making installation quick and hassle-free.\ufeff\ufeff', 'Durable Rust Prevention – Zinc-coated surface treatment effectively prevents rust and does not affect the welding.Protect your truck from the damaging effects of time with this high-quality repair kit, engineered to restore and reinforce the frame, extending the lifespan of your vehicle.', 'High-Quality Steel Construction – This product is crafted from durable, corrosion-resistant steel that are designed to withstand the elements and provide long-lasting performance.', ""Restore Structural Integrity & Safety – With this repair kit, you can restore your Silverado’s frame integrity, improving its strength and safety, while preventing further rust damage that could compromise the vehicle's performance.Repair your pickup truck to restore its functionality, whether it's transporting goods, building materials, furniture, or going camping and off-road with family and friends."", 'Installation:No need to remove the original frame, but before installation we do recommend removing the rusted section, slide the replacement in place, and weld it solid.Professional installation is recommend.']",63,0%,0%,0%,37
2.36 x 2.36 x 6.5 inches; 5.61 ounces,B0DS28H6HY,None,EPASUN,EPASUN Store,None,None,None,None,None,$9.99,None,None,"['Value Threadlocker: Medium-strength blue Threadlocker and High-strength red Threadlocker, providing a wide range of options for your various needs. 2 x 50ml bottles of thread locker are easy to store and can be used for a long time without drying out or leaking', 'Keep Fasteners Secure and Tight: EPASUN lock tight threadlocker has strong adhesion and keeps screws, nuts, and metal fasteners securely in place to prevent loosening caused by vibrations', 'Waterproof and Rust-Resistant: This thread locker pack is heat-resistant and waterproof, providing a strong and consistent lock ensuring durability against leakage, corrosion, and loosening, ideal for indoor and outdoor use', 'Quick and Hassle-free: Simply apply the thread locker evenly to the thread, tighten the nut, and cure initially for 10 minutes, then fully cure within 24 hours. If you ever need to take it off, it can be easily removed using basic hand tools', ""Versatile Usage: Whether you're working on automotive repairs, tightening furniture screws, or handling industrial tasks, Its reliable performance and versatility make it ideal for automotive, industrial, and furniture use, saving you time and effort""]",76,20,0%,0%,4
